Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,086304,2019,01,01,0.0,,Y
IDCJAC0009,086304,2019,01,02,2.5,1,Y
IDCJAC0009,086304,2019,01,03,0.0,,Y
IDCJAC0009,086304,2019,01,04,0.0,,Y
IDCJAC0009,086304,2019,01,05,,,
IDCJAC0009,086304,2019,01,06,,,
IDCJAC0009,086304,2019,01,07,1.4,3,Y
IDCJAC0009,086304,2019,01,08,0.0,,Y
IDCJAC0009,086304,2019,01,09,0.0,,Y
IDCJAC0009,086304,2019,01,10,0.0,,Y
IDCJAC0009,086304,2019,01,11,0.0,,Y
IDCJAC0009,086304,2019,01,12,0.0,,Y
IDCJAC0009,086304,2019,01,13,0.0,,Y
IDCJAC0009,086304,2019,01,14,0.0,,Y
IDCJAC0009,086304,2019,01,15,0.0,,Y
IDCJAC0009,086304,2019,01,16,0.0,,Y
IDCJAC0009,086304,2019,01,17,0.0,,Y
IDCJAC0009,086304,2019,01,18,0.0,,Y
IDCJAC0009,086304,2019,01,19,0.0,,Y
IDCJAC0009,086304,2019,01,20,0.0,,Y
IDCJAC0009,086304,2019,01,21,0.0,,Y
IDCJAC0009,086304,2019,01,22,0.0,,Y
IDCJAC0009,086304,2019,01,23,0.0,,Y
IDCJAC0009,086304,2019,01,24,0.0,,Y
IDCJAC0009,086304,2019,01,25,0.0,,Y
IDCJAC0009,086304,2019,01,26,0.0,,Y
IDCJAC0009,086304,2019,01,27,0.0,,Y
IDCJAC0009,086304,2019,01,28,0.0,,Y
IDCJAC0009,086304,2019,01,29,0.0,,Y
IDCJAC0009,086304,2019,01,30,0.0,,Y
IDCJAC0009,086304,2019,01,31,9.6,1,Y
IDCJAC0009,086304,2019,02,01,0.0,,Y
IDCJAC0009,086304,2019,02,02,0.0,,Y
IDCJAC0009,086304,2019,02,03,0.0,,Y
IDCJAC0009,086304,2019,02,04,0.0,,Y
IDCJAC0009,086304,2019,02,05,0.0,,Y
IDCJAC0009,086304,2019,02,06,0.0,,Y
IDCJAC0009,086304,2019,02,07,3.7,1,Y
IDCJAC0009,086304,2019,02,08,0.4,1,Y
IDCJAC0009,086304,2019,02,09,,,
IDCJAC0009,086304,2019,02,10,,,
IDCJAC0009,086304,2019,02,11,4.4,3,Y
IDCJAC0009,086304,2019,02,12,0.0,,Y
IDCJAC0009,086304,2019,02,13,2.6,1,Y
